p Sequence ref name simbad ulli ulc uln ulo ulna ulmg ulal ulsi ulsc ulti ulv ulcr ulmn ulco ulni ulzn ulga ulge ulsr uly ulzr ulmo ulru ulrh ulpd ulba ulla ulce ulpr ulnd ulsm uleu ulgd ultb uldy ulho uler ultm ullu ulhf ulos ulir ulpt ulag ulpb ulth ulu
1 104 BAR05 HE0243-0753 2MASS J02461415-0740531 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 105 BAR05 HE0248+0039 2MASS J02505905+0051313 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 106 BAR05 HE0256-1109 2MASS J02591016-1058019 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 107 LAI08 CS31078-018 2MASS J03010069+0616318 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 108 LAI07 CS31078-018 2MASS J03010069+0616318 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 109 BAR05 HE0300-0751 2MASS J03030406-0739423 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 110 CAY04 CS22968-014 2MASS J03062950-5430325 * * * * * * * * * * * * * * * * * * * 1 1 * * * * * * 1 1 1 1 1 1 * 1 1 1 * * * * * * * * * *
2 111 RYA96 CS22968-014 2MASS J03062950-5430325 * * * * * * * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * *
2 112 MCW9598 CS22968-014 2MASS J03062950-5430325 * * * * * * * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * *
2 113 SPI00 CS22968-014 2MASS J03062950-5430325 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 114 BAR05 HE0305-4520 2MASS J03070219-4509006 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 115 BAR05 HE0308-1154 2MASS J03110972-1143212 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 116 CAY04 CS22172-002 2MASS J03142084-1035112 * * * 1 * * * * * * * * * * * * * * * * 1 * * * * * 1 1 1 1 1 1 * * 1 1 1 * * * * * * * * * *
