um, n, k
0.558895071, 1.85053, 0.0009395
0.559270347, 1.85052606, 0.00093777
0.559646127, 1.85052213, 0.00093656
0.560022412, 1.8505182, 0.00093842
0.560399204, 1.85051426, 0.00095163
0.560776503, 1.85051033, 0.00094966
0.56115431, 1.85050639, 0.00094785
0.561532627, 1.85050246, 0.00094673
0.561911455, 1.85049841, 0.00094476
0.562290794, 1.85049359, 0.0009428
0.562670645, 1.85048965, 0.00094091
0.56305101, 1.85048572, 0.00093986
0.563431889, 1.85048179, 0.00093789
0.563813284, 1.85047786, 0.00093596
0.564195196, 1.85047392, 0.00093496
0.564577626, 1.85046999, 0.000933
0.564960574, 1.85046605, 0.00093201
0.565344043, 1.85046212, 0.00093006
0.565728032, 1.85045818, 0.00092905
0.566112543, 1.85045425, 0.00092712
0.566497577, 1.85045031, 0.00092516
0.566883135, 1.85044638, 0.0009241
0.567269219, 1.85044245, 0.00092222
0.567655828, 1.85043851, 0.00092113
0.568042966, 1.85043458, 0.00091929
0.568430631, 1.85043064, 0.00091816
0.568818826, 1.85042671, 0.00091636
0.569207551, 1.85042278, 0.00091519
0.569596809, 1.85041884, 0.00091421
0.569986599, 1.85041568, 0.00091709
0.570376922, 1.85041122, 0.00092405
0.570767781, 1.85040778, 0.00092452
0.571159176, 1.85040411, 0.00092328
0.571551108, 1.85040017, 0.00092159
0.571943578, 1.85039624, 0.00092031
0.572336588, 1.8503923, 0.00091865
0.572730138, 1.85038837, 0.00091734
0.573124229, 1.85038443, 0.00091636
0.573518864, 1.8503805, 0.00091475
0.573914042, 1.85037657, 0.00091339
0.574309765, 1.85037263, 0.00091241
0.574706035, 1.85036927, 0.00091085
0.575102851, 1.85036576, 0.00090944
0.575500216, 1.85036183, 0.00090792
0.57589813, 1.8503579, 0.00090647
0.576296595, 1.85035396, 0.00090549
0.576695612, 1.85035003, 0.00090451
0.577095182, 1.85034657, 0.00090305
0.577495306, 1.85034316, 0.00090154
0.577895985, 1.85033923, 0.00090056
0.57829722, 1.85033529, 0.00089915
0.578699013, 1.85033136, 0.00089759
0.579101364, 1.85032742, 0.00089661
0.579504276, 1.85032387, 0.00089562
0.579907749, 1.85032055, 0.00089572
0.580311783, 1.85031662, 0.00090011
0.580716381, 1.85031269, 0.00090534
0.581121544, 1.85030906, 0.00090369
0.581527273, 1.85030582, 0.00090241
0.581933568, 1.85030188, 0.00090072
0.582340432, 1.85029795, 0.00089974
0.582747865, 1.85029426, 0.00089851
0.583155868, 1.85029108, 0.00089677
0.583564443, 1.85028715, 0.00089579
0.583973591, 1.85028321, 0.00089461
0.584383313, 1.85027946, 0.00089282
0.584793611, 1.85027634, 0.00089167
0.585204485, 1.85027241, 0.00088985
0.585615937, 1.85026861, 0.00088887
0.586027968, 1.85026554, 0.00088777
0.586440579, 1.85026161, 0.0008859
0.586853771, 1.85025776, 0.00088492
0.587267546, 1.85025474, 0.00088393
0.587681905, 1.85025081, 0.0008829
0.588096849, 1.85024687, 0.00088097
0.58851238, 1.85024295, 0.00087998
0.588928498, 1.85024, 0.000879
0.589345205, 1.85023607, 0.00087802
0.589762502, 1.85023214, 0.00087607
0.59018039, 1.85022915, 0.00088455
0.590598871, 1.85022527, 0.000885
0.591017946, 1.85022225, 0.00088408
0.591437616, 1.8502184, 0.0008831
0.591857883, 1.85021446, 0.00088212
0.592278747, 1.8502114, 0.00088113
0.592700211, 1.8502076, 0.00088015
0.593122274, 1.8502045, 0.00087833
0.593544939, 1.85020073, 0.00087718
0.593968207, 1.8501968, 0.0008762
0.594392079, 1.85019364, 0.00087521
0.594816556, 1.85018993, 0.00087423
0.59524164, 1.85018599, 0.00087325
0.595667332, 1.85018279, 0.00087226
0.596093634, 1.85017912, 0.00087128
0.596520545, 1.85017589, 0.0008703
0.596948069, 1.85017225, 0.00086931
0.597376207, 1.85016832, 0.00086833
0.597804958, 1.85016504, 0.00086735
0.598234326, 1.85016145, 0.00086636
0.598664311, 1.85015814, 0.00086538
0.599094914, 1.85015458, 0.0008644
0.599526137, 1.85015065, 0.00086341
0.599957982, 1.85014729, 0.000867
0.600390449, 1.85014378, 0.00087055
0.60082354, 1.85014039, 0.00087046
0.601257256, 1.85013692, 0.00086948
0.601691599, 1.85013298, 0.0008685
0.60212657, 1.85012953, 0.00086751
0.60256217, 1.85012611, 0.00086653
0.602998401, 1.85012263, 0.00086554
0.603435264, 1.85011924, 0.00086456
0.603872761, 1.85011531, 0.00086358
